qald_id,sentence_en,pos-tags,noun_count,pos-complex(H/M/E),ner-tags,entity_count,ner-complex(H/M/E),list_type(Y/N),count_type(Y/N),entity-count,sentence_entities_grayed
58,How many airlines are there?,"[('How', 'WRB'), ('many', 'JJ'), ('airlines', 'NNS'), ('are', 'VBP'), ('there', 'RB'), ('?', '.')]",1,easy,"[('How', 'O'), ('many', 'O'), ('airlines', 'O'), ('are', 'O'), ('there', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,How many airlines are there ?
59,Give me all islands that belong to Japan.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('islands', 'NNS'), ('that', 'WDT'), ('belong', 'VBP'), ('to', 'TO'), ('Japan', 'NNP'), ('.', '.')]",2,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('islands', 'O'), ('that', 'O'), ('belong', 'O'), ('to', 'O'), ('Japan', 'LOCATION'), ('.', 'O')]",tbd,easy,Y,N,1.0,Give me all islands that belong to $Japan$ .
60,How many inhabitants does Maribor have?,"[('How', 'WRB'), ('many', 'JJ'), ('inhabitants', 'NNS'), ('does', 'VBZ'), ('Maribor', 'NNP'), ('have', 'VB'), ('?', '.')]",2,easy,"[('How', 'O'), ('many', 'O'), ('inhabitants', 'O'), ('does', 'O'), ('Maribor', 'LOCATION'), ('have', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,How many inhabitants does $Maribor$ have ?
61,Give me all Apollo 14 astronauts.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('Apollo', 'NNP'), ('14', 'CD'), ('astronauts', 'NNS'), ('.', '.')]",2,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('Apollo', 'O'), ('14', 'O'), ('astronauts', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all Apollo 14 astronauts .
62,Which companies have more than 1 million employees?,"[('Which', 'JJ'), ('companies', 'NNS'), ('have', 'VBP'), ('more', 'JJR'), ('than', 'IN'), ('1', 'CD'), ('million', 'CD'), ('employees', 'NNS'), ('?', '.')]",2,easy,"[('Which', 'O'), ('companies', 'O'), ('have', 'O'), ('more', 'O'), ('than', 'O'), ('1', 'O'), ('million', 'O'), ('employees', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which companies have more than 1 million employees ?
63,In which films directed by Garry Marshall was Julia Roberts starring?,"[('In', 'IN'), ('which', 'WDT'), ('films', 'NNS'), ('directed', 'VBN'), ('by', 'IN'), ('Garry', 'NNP'), ('Marshall', 'NNP'), ('was', 'VBD'), ('Julia', 'NNP'), ('Roberts', 'NNP'), ('starring', 'NN'), ('?', '.')]",6,hard,"[('In', 'O'), ('which', 'O'), ('films', 'O'), ('directed', 'O'), ('by', 'O'), ('Garry', 'PERSON'), ('Marshall', 'PERSON'), ('was', 'O'), ('Julia', 'PERSON'), ('Roberts', 'PERSON'), ('starring', 'O'), ('?', 'O')]",tbd,hard,N,N,4.0,In which films directed by $Garry$ $Marshall$ was $Julia$ $Roberts$ starring ?
64,Give me all soccer clubs in the Premier League.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('soccer', 'NN'), ('clubs', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('Premier', 'NNP'), ('League', 'NNP'), ('.', '.')]",4,medium,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('soccer', 'O'), ('clubs', 'O'), ('in', 'O'), ('the', 'O'), ('Premier', 'ORGANIZATION'), ('League', 'ORGANIZATION'), ('.', 'O')]",tbd,medium,Y,N,2.0,Give me all soccer clubs in the $Premier$ $League$ .
65,What is the highest place of the Urals?,"[('What', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('highest', 'JJS'), ('place', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Urals', 'NNS'), ('?', '.')]",3,medium,"[('What', 'O'), ('is', 'O'), ('the', 'O'), ('highest', 'O'), ('place', 'O'), ('of', 'O'), ('the', 'O'), ('Urals', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,What is the highest place of the Urals ?
66,Who is the governor of Wyoming?,"[('Who', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('governor', 'NN'), ('of', 'IN'), ('Wyoming', 'NNP'), ('?', '.')]",3,medium,"[('Who', 'O'), ('is', 'O'), ('the', 'O'), ('governor', 'O'), ('of', 'O'), ('Wyoming', 'LOCATION'), ('?', 'O')]",tbd,easy,N,N,1.0,Who is the governor of $Wyoming$ ?
67,Where did the architect of the Eiffel Tower study?,"[('Where', 'WRB'), ('did', 'VBD'), ('the', 'DT'), ('architect', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Eiffel', 'NNP'), ('Tower', 'NNP'), ('study', 'NN'), ('?', '.')]",4,medium,"[('Where', 'O'), ('did', 'O'), ('the', 'O'), ('architect', 'O'), ('of', 'O'), ('the', 'O'), ('Eiffel', 'LOCATION'), ('Tower', 'LOCATION'), ('study', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,Where did the architect of the $Eiffel$ $Tower$ study ?
68,Give me all world heritage sites designated within the past two years.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('world', 'NN'), ('heritage', 'NN'), ('sites', 'NNS'), ('designated', 'VBD'), ('within', 'IN'), ('the', 'DT'), ('past', 'JJ'), ('two', 'CD'), ('years', 'NNS'), ('.', '.')]",4,medium,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('world', 'O'), ('heritage', 'O'), ('sites', 'O'), ('designated', 'O'), ('within', 'O'), ('the', 'O'), ('past', 'O'), ('two', 'O'), ('years', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all world heritage sites designated within the past two years .
69,Give me all actors who were born in Paris after 1950.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('actors', 'NNS'), ('who', 'WP'), ('were', 'VBD'), ('born', 'VBN'), ('in', 'IN'), ('Paris', 'NNP'), ('after', 'IN'), ('1950', 'CD'), ('.', '.')]",3,medium,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('actors', 'O'), ('who', 'O'), ('were', 'O'), ('born', 'O'), ('in', 'O'), ('Paris', 'LOCATION'), ('after', 'O'), ('1950', 'O'), ('.', 'O')]",tbd,easy,Y,N,1.0,Give me all actors who were born in $Paris$ after 1950 .
70,Which movies star both Liz Taylor and Richard Burton?,"[('Which', 'JJ'), ('movies', 'NNS'), ('star', 'VBD'), ('both', 'DT'), ('Liz', 'NNP'), ('Taylor', 'NNP'), ('and', 'CC'), ('Richard', 'NNP'), ('Burton', 'NNP'), ('?', '.')]",5,hard,"[('Which', 'O'), ('movies', 'O'), ('star', 'O'), ('both', 'O'), ('Liz', 'PERSON'), ('Taylor', 'PERSON'), ('and', 'O'), ('Richard', 'PERSON'), ('Burton', 'PERSON'), ('?', 'O')]",tbd,hard,N,N,4.0,Which movies star both $Liz$ $Taylor$ and $Richard$ $Burton$ ?
71,Give me all Australian nonprofit organizations.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('Australian', 'JJ'), ('nonprofit', 'JJ'), ('organizations', 'NNS'), ('.', '.')]",1,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('Australian', 'O'), ('nonprofit', 'O'), ('organizations', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all Australian nonprofit organizations .
72,Which pope succeeded John Paul II?,"[('Which', 'NNP'), ('pope', 'NN'), ('succeeded', 'VBD'), ('John', 'NNP'), ('Paul', 'NNP'), ('II', 'NNP'), ('?', '.')]",5,hard,"[('Which', 'O'), ('pope', 'O'), ('succeeded', 'O'), ('John', 'PERSON'), ('Paul', 'PERSON'), ('II', 'PERSON'), ('?', 'O')]",tbd,medium,N,N,3.0,Which pope succeeded $John$ $Paul$ $II$ ?
73,Give me all ESA astronauts.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('ESA', 'NNP'), ('astronauts', 'NNS'), ('.', '.')]",2,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('ESA', 'O'), ('astronauts', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all ESA astronauts .
74,Who was president of Pakistan in 1978?,"[('Who', 'WP'), ('was', 'VBD'), ('president', 'NN'), ('of', 'IN'), ('Pakistan', 'NNP'), ('in', 'IN'), ('1978', 'CD'), ('?', '.')]",3,medium,"[('Who', 'O'), ('was', 'O'), ('president', 'O'), ('of', 'O'), ('Pakistan', 'LOCATION'), ('in', 'O'), ('1978', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,Who was president of $Pakistan$ in 1978 ?
75,Who is the owner of Rolls-Royce?,"[('Who', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('owner', 'NN'), ('of', 'IN'), ('Rolls-Royce', 'NNP'), ('?', '.')]",3,medium,"[('Who', 'O'), ('is', 'O'), ('the', 'O'), ('owner', 'O'), ('of', 'O'), ('Rolls-Royce', 'ORGANIZATION'), ('?', 'O')]",tbd,easy,N,N,1.0,Who is the owner of $Rolls-Royce$ ?
76,How many museums does Paris have?,"[('How', 'WRB'), ('many', 'JJ'), ('museums', 'NNS'), ('does', 'VBZ'), ('Paris', 'NNP'), ('have', 'VB'), ('?', '.')]",2,easy,"[('How', 'O'), ('many', 'O'), ('museums', 'O'), ('does', 'O'), ('Paris', 'LOCATION'), ('have', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,How many museums does $Paris$ have ?
77,Where was JFK assassinated?,"[('Where', 'WRB'), ('was', 'VBD'), ('JFK', 'NNP'), ('assassinated', 'VBD'), ('?', '.')]",1,easy,"[('Where', 'O'), ('was', 'O'), ('JFK', 'PERSON'), ('assassinated', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,Where was $JFK$ assassinated ?
78,Give me all federal chancellors of Germany.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('federal', 'JJ'), ('chancellors', 'NNS'), ('of', 'IN'), ('Germany', 'NNP'), ('.', '.')]",2,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('federal', 'O'), ('chancellors', 'O'), ('of', 'O'), ('Germany', 'LOCATION'), ('.', 'O')]",tbd,easy,Y,N,1.0,Give me all federal chancellors of $Germany$ .
79,Show me everyone who was born on Halloween.,"[('Show', 'VB'), ('me', 'PRP'), ('everyone', 'NN'), ('who', 'WP'), ('was', 'VBD'), ('born', 'VBN'), ('on', 'IN'), ('Halloween', 'NNP'), ('.', '.')]",3,medium,"[('Show', 'O'), ('me', 'O'), ('everyone', 'O'), ('who', 'O'), ('was', 'O'), ('born', 'O'), ('on', 'O'), ('Halloween', 'O'), ('.', 'O')]",tbd,easy,N,N,0.0,Show me everyone who was born on Halloween .
80,Which beer originated in Ireland?,"[('Which', 'NNP'), ('beer', 'NN'), ('originated', 'VBD'), ('in', 'IN'), ('Ireland', 'NNP'), ('?', '.')]",3,medium,"[('Which', 'O'), ('beer', 'O'), ('originated', 'O'), ('in', 'O'), ('Ireland', 'LOCATION'), ('?', 'O')]",tbd,easy,N,N,1.0,Which beer originated in $Ireland$ ?
81,To which countries does the Himalayan mountain system extend?,"[('To', 'TO'), ('which', 'WDT'), ('countries', 'NNS'), ('does', 'VBZ'), ('the', 'DT'), ('Himalayan', 'NNP'), ('mountain', 'NN'), ('system', 'NN'), ('extend', 'VB'), ('?', '.')]",4,medium,"[('To', 'O'), ('which', 'O'), ('countries', 'O'), ('does', 'O'), ('the', 'O'), ('Himalayan', 'O'), ('mountain', 'O'), ('system', 'O'), ('extend', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,To which countries does the Himalayan mountain system extend ?
82,Which actors were born in Germany?,"[('Which', 'JJ'), ('actors', 'NNS'), ('were', 'VBD'), ('born', 'VBN'), ('in', 'IN'), ('Germany', 'NNP'), ('?', '.')]",2,easy,"[('Which', 'O'), ('actors', 'O'), ('were', 'O'), ('born', 'O'), ('in', 'O'), ('Germany', 'LOCATION'), ('?', 'O')]",tbd,easy,N,N,1.0,Which actors were born in $Germany$ ?
83,How much carbs does peanut butter have?,"[('How', 'WRB'), ('much', 'JJ'), ('carbs', 'NN'), ('does', 'VBZ'), ('peanut', 'VB'), ('butter', 'NN'), ('have', 'VB'), ('?', '.')]",2,easy,"[('How', 'O'), ('much', 'O'), ('carbs', 'O'), ('does', 'O'), ('peanut', 'O'), ('butter', 'O'), ('have', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,How much carbs does peanut butter have ?
84,Who produced the most films?,"[('Who', 'WP'), ('produced', 'VBD'), ('the', 'DT'), ('most', 'RBS'), ('films', 'NNS'), ('?', '.')]",2,easy,"[('Who', 'O'), ('produced', 'O'), ('the', 'O'), ('most', 'O'), ('films', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Who produced the most films ?
85,How many employees does Google have?,"[('How', 'WRB'), ('many', 'JJ'), ('employees', 'NNS'), ('does', 'VBZ'), ('Google', 'NNP'), ('have', 'VB'), ('?', '.')]",2,easy,"[('How', 'O'), ('many', 'O'), ('employees', 'O'), ('does', 'O'), ('Google', 'ORGANIZATION'), ('have', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,How many employees does $Google$ have ?
86,Give me all actors who were born in Berlin.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('actors', 'NNS'), ('who', 'WP'), ('were', 'VBD'), ('born', 'VBN'), ('in', 'IN'), ('Berlin', 'NNP'), ('.', '.')]",3,medium,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('actors', 'O'), ('who', 'O'), ('were', 'O'), ('born', 'O'), ('in', 'O'), ('Berlin', 'LOCATION'), ('.', 'O')]",tbd,easy,Y,N,1.0,Give me all actors who were born in $Berlin$ .
87,Who created Goofy?,"[('Who', 'WP'), ('created', 'VBD'), ('Goofy', 'NNP'), ('?', '.')]",2,easy,"[('Who', 'O'), ('created', 'O'), ('Goofy', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Who created Goofy ?
88,Which music albums contain the song Last Christmas?,"[('Which', 'JJ'), ('music', 'NN'), ('albums', 'NNS'), ('contain', 'VBP'), ('the', 'DT'), ('song', 'NN'), ('Last', 'JJ'), ('Christmas', 'NNP'), ('?', '.')]",4,medium,"[('Which', 'O'), ('music', 'O'), ('albums', 'O'), ('contain', 'O'), ('the', 'O'), ('song', 'O'), ('Last', 'O'), ('Christmas', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which music albums contain the song Last Christmas ?
89,When was Alberta admitted as province?,"[('When', 'WRB'), ('was', 'VBD'), ('Alberta', 'NNP'), ('admitted', 'VBD'), ('as', 'IN'), ('province', 'NN'), ('?', '.')]",2,easy,"[('When', 'O'), ('was', 'O'), ('Alberta', 'LOCATION'), ('admitted', 'O'), ('as', 'O'), ('province', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,When was $Alberta$ admitted as province ?
90,How many missions does the Soyuz programme have?,"[('How', 'WRB'), ('many', 'JJ'), ('missions', 'NNS'), ('does', 'VBZ'), ('the', 'DT'), ('Soyuz', 'NNP'), ('programme', 'NN'), ('have', 'VBP'), ('?', '.')]",3,medium,"[('How', 'O'), ('many', 'O'), ('missions', 'O'), ('does', 'O'), ('the', 'O'), ('Soyuz', 'O'), ('programme', 'O'), ('have', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,How many missions does the Soyuz programme have ?
91,Give me all the TV shows with Neil Patrick Harris.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'PDT'), ('the', 'DT'), ('TV', 'NN'), ('shows', 'VBZ'), ('with', 'IN'), ('Neil', 'NNP'), ('Patrick', 'NNP'), ('Harris', 'NNP'), ('.', '.')]",4,medium,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('the', 'O'), ('TV', 'O'), ('shows', 'O'), ('with', 'O'), ('Neil', 'PERSON'), ('Patrick', 'PERSON'), ('Harris', 'PERSON'), ('.', 'O')]",tbd,medium,Y,N,3.0,Give me all the TV shows with $Neil$ $Patrick$ $Harris$ .
92,When were the Hells Angels founded?,"[('When', 'WRB'), ('were', 'VBD'), ('the', 'DT'), ('Hells', 'NNP'), ('Angels', 'NNPS'), ('founded', 'VBN'), ('?', '.')]",2,easy,"[('When', 'O'), ('were', 'O'), ('the', 'O'), ('Hells', 'ORGANIZATION'), ('Angels', 'ORGANIZATION'), ('founded', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,When were the $Hells$ $Angels$ founded ?
93,What is the net income of Apple?,"[('What', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('net', 'JJ'), ('income', 'NN'), ('of', 'IN'), ('Apple', 'NNP'), ('?', '.')]",3,medium,"[('What', 'O'), ('is', 'O'), ('the', 'O'), ('net', 'O'), ('income', 'O'), ('of', 'O'), ('Apple', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,What is the net income of Apple ?
94,Give me all Swedish holidays.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('Swedish', 'JJ'), ('holidays', 'NNS'), ('.', '.')]",1,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('Swedish', 'O'), ('holidays', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all Swedish holidays .
95,In which city was the former Dutch queen Juliana buried?,"[('In', 'IN'), ('which', 'WDT'), ('city', 'NN'), ('was', 'VBD'), ('the', 'DT'), ('former', 'JJ'), ('Dutch', 'NNP'), ('queen', 'NN'), ('Juliana', 'NNP'), ('buried', 'VBD'), ('?', '.')]",4,medium,"[('In', 'O'), ('which', 'O'), ('city', 'O'), ('was', 'O'), ('the', 'O'), ('former', 'O'), ('Dutch', 'O'), ('queen', 'O'), ('Juliana', 'PERSON'), ('buried', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,In which city was the former Dutch queen $Juliana$ buried ?
96,List all the musicals with music by Leonard Bernstein.,"[('List', 'NN'), ('all', 'PDT'), ('the', 'DT'), ('musicals', 'NNS'), ('with', 'IN'), ('music', 'NN'), ('by', 'IN'), ('Leonard', 'NNP'), ('Bernstein', 'NNP'), ('.', '.')]",5,hard,"[('List', 'O'), ('all', 'O'), ('the', 'O'), ('musicals', 'O'), ('with', 'O'), ('music', 'O'), ('by', 'O'), ('Leonard', 'PERSON'), ('Bernstein', 'PERSON'), ('.', 'O')]",tbd,medium,Y,N,2.0,List all the musicals with music by $Leonard$ $Bernstein$ .
97,Give me all companies in the advertising industry.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('companies', 'NNS'), ('in', 'IN'), ('the', 'DT'), ('advertising', 'NN'), ('industry', 'NN'), ('.', '.')]",3,medium,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('companies', 'O'), ('in', 'O'), ('the', 'O'), ('advertising', 'O'), ('industry', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all companies in the advertising industry .
98,What is the largest metropolitan area in Washington state?,"[('What', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('largest', 'JJS'), ('metropolitan', 'JJ'), ('area', 'NN'), ('in', 'IN'), ('Washington', 'NNP'), ('state', 'NN'), ('?', '.')]",4,medium,"[('What', 'O'), ('is', 'O'), ('the', 'O'), ('largest', 'O'), ('metropolitan', 'O'), ('area', 'O'), ('in', 'O'), ('Washington', 'LOCATION'), ('state', 'O'), ('?', 'O')]",tbd,easy,N,N,1.0,What is the largest metropolitan area in $Washington$ state ?
99,Who killed John Lennon?,"[('Who', 'WP'), ('killed', 'VBD'), ('John', 'NNP'), ('Lennon', 'NNP'), ('?', '.')]",3,medium,"[('Who', 'O'), ('killed', 'O'), ('John', 'PERSON'), ('Lennon', 'PERSON'), ('?', 'O')]",tbd,medium,N,N,2.0,Who killed $John$ $Lennon$ ?
100,Which writers studied in Istanbul?,"[('Which', 'JJ'), ('writers', 'NNS'), ('studied', 'VBD'), ('in', 'IN'), ('Istanbul', 'NNP'), ('?', '.')]",2,easy,"[('Which', 'O'), ('writers', 'O'), ('studied', 'O'), ('in', 'O'), ('Istanbul', 'LOCATION'), ('?', 'O')]",tbd,easy,N,N,1.0,Which writers studied in $Istanbul$ ?
101,Give me all Australian metalcore bands.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('Australian', 'JJ'), ('metalcore', 'NN'), ('bands', 'NNS'), ('.', '.')]",2,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('Australian', 'O'), ('metalcore', 'O'), ('bands', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all Australian metalcore bands .
102,Which countries adopted the Euro?,"[('Which', 'JJ'), ('countries', 'NNS'), ('adopted', 'VBD'), ('the', 'DT'), ('Euro', 'NNP'), ('?', '.')]",2,easy,"[('Which', 'O'), ('countries', 'O'), ('adopted', 'O'), ('the', 'O'), ('Euro', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which countries adopted the Euro ?
103,Give me all types of eating disorders.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('types', 'NNS'), ('of', 'IN'), ('eating', 'VBG'), ('disorders', 'NNS'), ('.', '.')]",2,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('types', 'O'), ('of', 'O'), ('eating', 'O'), ('disorders', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all types of eating disorders .
104,Was Marc Chagall a jew?,"[('Was', 'NNP'), ('Marc', 'NNP'), ('Chagall', 'NNP'), ('a', 'DT'), ('jew', 'NN'), ('?', '.')]",4,medium,"[('Was', 'O'), ('Marc', 'PERSON'), ('Chagall', 'PERSON'), ('a', 'O'), ('jew', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,Was $Marc$ $Chagall$ a jew ?
105,What was Brazil's lowest rank in the FIFA World Ranking?,"[('What', 'WP'), ('was', 'VBD'), ('Brazil', 'NNP'), (""'s"", 'POS'), ('lowest', 'JJS'), ('rank', 'NN'), ('in', 'IN'), ('the', 'DT'), ('FIFA', 'NNP'), ('World', 'NNP'), ('Ranking', 'NNP'), ('?', '.')]",6,hard,"[('What', 'O'), ('was', 'O'), ('Brazil', 'LOCATION'), (""'s"", 'O'), ('lowest', 'O'), ('rank', 'O'), ('in', 'O'), ('the', 'O'), ('FIFA', 'ORGANIZATION'), ('World', 'ORGANIZATION'), ('Ranking', 'ORGANIZATION'), ('?', 'O')]",tbd,hard,N,N,4.0,What was $Brazil$ 's lowest rank in the $FIFA$ $World$ $Ranking$ ?
106,How many films did Leonardo DiCaprio star in?,"[('How', 'WRB'), ('many', 'JJ'), ('films', 'NNS'), ('did', 'VBD'), ('Leonardo', 'NNP'), ('DiCaprio', 'NNP'), ('star', 'NN'), ('in', 'IN'), ('?', '.')]",4,medium,"[('How', 'O'), ('many', 'O'), ('films', 'O'), ('did', 'O'), ('Leonardo', 'PERSON'), ('DiCaprio', 'PERSON'), ('star', 'O'), ('in', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,How many films did $Leonardo$ $DiCaprio$ star in ?
107,Was Margaret Thatcher a chemist?,"[('Was', 'NNP'), ('Margaret', 'NNP'), ('Thatcher', 'NNP'), ('a', 'DT'), ('chemist', 'NN'), ('?', '.')]",4,medium,"[('Was', 'O'), ('Margaret', 'PERSON'), ('Thatcher', 'PERSON'), ('a', 'O'), ('chemist', 'O'), ('?', 'O')]",tbd,medium,N,N,2.0,Was $Margaret$ $Thatcher$ a chemist ?
108,Which U.S. states are in the same time zone as Utah?,"[('Which', 'NNP'), ('U.S.', 'NNP'), ('states', 'NNS'), ('are', 'VBP'), ('in', 'IN'), ('the', 'DT'), ('same', 'JJ'), ('time', 'NN'), ('zone', 'NN'), ('as', 'IN'), ('Utah', 'NNP'), ('?', '.')]",6,hard,"[('Which', 'O'), ('U.S.', 'LOCATION'), ('states', 'O'), ('are', 'O'), ('in', 'O'), ('the', 'O'), ('same', 'O'), ('time', 'O'), ('zone', 'O'), ('as', 'O'), ('Utah', 'LOCATION'), ('?', 'O')]",tbd,medium,N,N,2.0,Which $U.S.$ states are in the same time zone as $Utah$ ?
109,Give me all books written by Danielle Steel.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('books', 'NNS'), ('written', 'VBN'), ('by', 'IN'), ('Danielle', 'NNP'), ('Steel', 'NNP'), ('.', '.')]",3,medium,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('books', 'O'), ('written', 'O'), ('by', 'O'), ('Danielle', 'PERSON'), ('Steel', 'PERSON'), ('.', 'O')]",tbd,medium,Y,N,2.0,Give me all books written by $Danielle$ $Steel$ .
110,Which country has the most official languages?,"[('Which', 'JJ'), ('country', 'NN'), ('has', 'VBZ'), ('the', 'DT'), ('most', 'RBS'), ('official', 'JJ'), ('languages', 'NNS'), ('?', '.')]",2,easy,"[('Which', 'O'), ('country', 'O'), ('has', 'O'), ('the', 'O'), ('most', 'O'), ('official', 'O'), ('languages', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which country has the most official languages ?
111,What is the total amount of men and women serving in the FDNY?,"[('What', 'WP'), ('is', 'VBZ'), ('the', 'DT'), ('total', 'JJ'), ('amount', 'NN'), ('of', 'IN'), ('men', 'NNS'), ('and', 'CC'), ('women', 'NNS'), ('serving', 'VBG'), ('in', 'IN'), ('the', 'DT'), ('FDNY', 'NNP'), ('?', '.')]",5,hard,"[('What', 'O'), ('is', 'O'), ('the', 'O'), ('total', 'O'), ('amount', 'O'), ('of', 'O'), ('men', 'O'), ('and', 'O'), ('women', 'O'), ('serving', 'O'), ('in', 'O'), ('the', 'O'), ('FDNY', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,What is the total amount of men and women serving in the FDNY ?
112,Which actor played Chewbacca?,"[('Which', 'NNP'), ('actor', 'NN'), ('played', 'VBD'), ('Chewbacca', 'NNP'), ('?', '.')]",3,medium,"[('Which', 'O'), ('actor', 'O'), ('played', 'O'), ('Chewbacca', 'O'), ('?', 'O')]",tbd,easy,N,N,0.0,Which actor played Chewbacca ?
113,Give me all libraries established earlier than 1400.,"[('Give', 'VB'), ('me', 'PRP'), ('all', 'DT'), ('libraries', 'NNS'), ('established', 'VBN'), ('earlier', 'JJR'), ('than', 'IN'), ('1400', 'CD'), ('.', '.')]",1,easy,"[('Give', 'O'), ('me', 'O'), ('all', 'O'), ('libraries', 'O'), ('established', 'O'), ('earlier', 'O'), ('than', 'O'), ('1400', 'O'), ('.', 'O')]",tbd,easy,Y,N,0.0,Give me all libraries established earlier than 1400 .
114,Which programming languages were influenced by Perl?,"[('Which', 'JJ'), ('programming', 'NN'), ('languages', 'NNS'), ('were', 'VBD'), ('influenced', 'VBN'), ('by', 'IN'), ('Perl', 'NNP'), ('?', '.')]",3,medium,"[('Which', 'O'), ('programming', 'O'), ('languages', 'O'), ('were', 'O'), ('influenced', 'O'), ('by', 'O'), ('Perl', 'PERSON'), ('?', 'O')]",tbd,easy,N,N,1.0,Which programming languages were influenced by $Perl$ ?
115,In which U.S. state is Mount McKinley located?,"[('In', 'IN'), ('which', 'WDT'), ('U.S.', 'NNP'), ('state', 'NN'), ('is', 'VBZ'), ('Mount', 'NNP'), ('McKinley', 'NNP'), ('located', 'VBN'), ('?', '.')]",4,medium,"[('In', 'O'), ('which', 'O'), ('U.S.', 'LOCATION'), ('state', 'O'), ('is', 'O'), ('Mount', 'LOCATION'), ('McKinley', 'LOCATION'), ('located', 'O'), ('?', 'O')]",tbd,medium,N,N,3.0,In which $U.S.$ state is $Mount$ $McKinley$ located ?
