ID	Original Question	ori_ans_uri	ori_ans_label	correct	Paraphrasing 1	pp1_ans_uri	pp1_ans_label	pp1_ori_match	Paraphrasing 2	pp2_ans_uri	pp2_ans_label	pp2_ori_match	SPARQL Query
Q51	Did Che Guevara have children ?	key exception	key exception		Did Che Guevara fathered kids?	key exception	key exception	0	Did Che Guevara have a son or daughter or both ?	http://www.wikidata.org/entity/Q10861998	Celia de la Serna	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:Che_Guevara dbo:child ?uri }
Q98	Which instruments does Cat Stevens play ?	http://www.wikidata.org/entity/Q17172850	voice		What are the instruments that Cat Stevens plays?	http://www.wikidata.org/entity/Q17172850	voice	1	Give me a list of instruments that Cat Stevens play .	http://www.wikidata.org/entity/Q17172850	voice	1	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cat_Stevens> <http://dbpedia.org/ontology/instrument> ?uri }
Q96	Give me all Frisian islands that belong to the Netherlands .				Which are the Frisian islands that Netherland owns?	http://www.wikidata.org/entity/Q1764727	Zweite Cosmas- und Damianflut	0	List out all Frisian islands that are in the territory of Netherlands .	http://www.wikidata.org/entity/Q1764727	Zweite Cosmas- und Damianflut	0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:WikicatFrisianIslands ; dbo:country res:Netherlands }
Q45	How tall is Claudia Schiffer ?				What is Claudia Schiffer's height?			returned no answer	What is the height of Claudia Schiffer ?			returned no answer	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?height WHERE { res:Claudia_Schiffer dbo:height ?height }
Q13	Where is the residence of the prime minister of Spain ?	http://www.wikidata.org/entity/Q1367970	Palace of Moncloa		Where is the Spain prime minister's residence? 	http://www.wikidata.org/entity/Q1367970	Palace of Moncloa	1	Where does prime minister of Spain live ?	http://www.wikidata.org/entity/Q6070218	Pedro Sánchez Pérez-Castejón	0	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Prime_Minister_of_Spain> <http://dbpedia.org/property/residence> ?uri }
Q17	Give me a list of all lakes in Denmark .	http://www.wikidata.org/entity/Q1020215	Bølling lake		Tell me the list of all lakes in Denmark .	http://www.wikidata.org/entity/Q1020215	Bølling lake	1	What are the names of lakes in Denmark ?	http://www.wikidata.org/entity/Q1020215	Bølling lake	1	SELECT DISTINCT ?uri WHERE { { ?uri a <http://dbpedia.org/ontology/Lake> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> } UNION { ?uri a <http://dbpedia.org/class/yago/LakesOfDenmark> } }
Q32	In which state Penn State University is located ?				Name the state where Penn State University is located ?			returned no answer	Penn State University is located in which state ?			returned no answer	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?s WHERE { dbr:Pennsylvania_State_University dbo:state ?s }
Q63	What did Bruce Carver die from ?	http://www.wikidata.org/entity/Q23337	Salt Lake City		What was to reason for Bruce Carver 's death ?			0	How did  Bruce Carver die ?	http://www.wikidata.org/entity/Q23337	Salt Lake City	1	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Bruce_Carver dbo:deathCause ?uri }
Q31	Who played Gus Fring in Breaking Bad ?	http://www.wikidata.org/entity/Q1079	Breaking Bad		Gus Fring was played by whom in Breaking Bad ?	http://www.wikidata.org/entity/Q1079	Breaking Bad	1	Gus Fring's role in Breaking Bad was played by whom?			0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Gus_Fring dbo:portrayer ?uri }
Q44	Give me all actors starring in movies directed by William Shatner .	http://www.wikidata.org/entity/Q1382927	Albert Salmi		List all actors starring in director William Shatner movies.	http://www.wikidata.org/entity/Q110154	George Takei	0	Name all the actors who worked with Director  William Shartner			0	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { ?x dbo:director res:William_Shatner ; dbo:starring ?uri }
Q65	In which city does Sylvester Stallone live ?	http://www.wikidata.org/entity/Q127856	Beverly Hills		Sylvester Stallone lives in which city ?	http://www.wikidata.org/entity/Q104994	Los Angeles County	0	Where does Sylvester Stallone live ?	http://www.wikidata.org/entity/Q127856	Beverly Hills	1	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:City . res:Sylvester_Stallone dbo:residence ?uri }
Q2	What are the official languages of the Philippines ?	http://www.wikidata.org/entity/Q1860	English		which languages are official in  Philippines ?	https://historiskastudier.gu.se/ominstitutionen/personal?userId=xostid		0	List out official languages spoken in Philippines .	http://www.wikidata.org/entity/Q1860	English	1	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Philippines dbo:officialLanguage ?uri }
Q99	How many rivers and lakes are in South Carolina ?				What are the rivers and lakes of South  Carolina?	http://www.wikidata.org/entity/Q97	Atlantic Ocean	0	Give me a count of rivers and lakes in South Carolina .			returned no answer	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dct: <http://purl.org/dc/terms/> PREFIX dbc: <http://dbpedia.org/resource/Category:> PREFIX dbr: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT (COUNT(DISTINCT ?uri) AS ?count) WHERE { { ?uri dbo:location dbr:South_Carolina ; rdf:type dbo:Lake } UNION { ?uri dct:subject dbc:Rivers_and_streams_of_South_Carolina } }
